"key","translation","domain"
"Field is required.","Field is required.",
"Invalid field value.","Invalid field value.",
"active","Active",
"title","Title",
"type","Type",
"model","Model",
"xml","XML",
"priority","Priority",
"icon","Icon",
"parent","Parent",
"action","Action",
"category","Category",
"key","Key",
"value","Value",
"packageName","Package",
"tableName","Table",
"metaFields","Fields",
"fullName","Fullname",
"metaModel","Model",
"typeName","Type",
"label","Label",
"relationship","Relationship",
"mappedBy","Mapped by",
"description","Description",
"language","Language",
"translation","Translation",
"Administration","Administration",
"Model Management","Model Management",
"View Management","View Management",
"All Models","All Models",
"Models","Models",
"All Views","All Views",
"Views","Views",
"All Menus","All Menus",
"Menus","Menus",
"All Actions","All Actions",
"Actions","Actions",
"All Selects","All Selects",
"Selects","Selects",
"Action Menus","Action Menus",
"All Translations","All Translations",
"Grid","Grid",
"Form","Form",
"Tree","Tree",
"Search","Search",
"Portal","Portal",
"View","View",
"XML","XML",
"View Details","View Details",
"Validate","Validate",
"Restore","Restore",
"Restore All","Restore All",
"Preview","Preview",
"Action","Action",
"Menu Items","Menu Items",
"Menu Item","Menu Item",
"Action Menu","Action Menu",
"Select","Select",
"Model","Model",
"Fields","Fields",
"Field","Field",
"Show Model","Show Model",
"Description","Description",
"Translation","Translation",
"Export All","Export All",
"All the customizations will be lost. Are you sure?","All the customizations will be lost. Are you sure?",
"Not implemented yet!","Not implemented yet!",
"exportPath","Export Path",
"Please enter your export path fisrt.","Please enter your export path fisrt.",
"Export done.","Export done."
