"domain","name","type","title","title_t","help","help_t"
"menu-wkf","Wkf Management","menu","Wkf Management","Gestion des processus","",""
"menu-wkf-configurations","Configurations","menu","Configurations","Configurations","",""
"menu-wkf-instances","Instances","menu","Instances","Instances","",""
"menu-wkf-nodes-root","Nodes","menu","Nodes","Nœuds","",""
"menu-wkf-nodes-root-event","Events","menu","Events","Evènements","",""
"menu-wkf-start-event","Start events","menu","Start events","Evènements de départ","",""
"menu-wkf-intermediate-timer-event","Timer events","menu","Timer events","Evènements minuteurs","",""
"menu-wkf-end-event","End events","menu","End events","Evènements de fin","",""
"menu-wkf-nodes-root-message","Messages","menu","Messages","Messages","",""
"menu-wkf-intermediate-email-message-event","E-mail events","menu","E-mail events","E-mails","",""
"menu-wkf-intermediate-mail-event","Mail events","menu","Mail events","Courriers","",""
"menu-wkf-intermediate-sms-event","Sms events","menu","Sms events","Sms","",""
"menu-wkf-intermediate-phone-call-event","Phone call events","menu","Phone call events","Appels téléphoniques","",""
"menu-wkf-intermediate-internet-site-event","Internet site events","menu","Internet site events","Site internet","",""
"menu-wkf-nodes-root-social-network","Social networks","menu","Social networks","Réseaux sociaux","",""
"menu-wkf-intermediate-facebook-event","Facebook events","menu","Facebook events","Facebook","",""
"menu-wkf-intermediate-linkedin-event","Linkedin events","menu","Linkedin events","Linkedin","",""
"menu-wkf-intermediate-twitter-event","twitter events","menu","twitter events","twitter","",""
"menu-wkf-nodes-root-filter","Filters","menu","Filters","Filtres","",""
"menu-wkf-filter","Filters","menu","Filters","Filtres","",""
"menu-wkf-stop-filter","Stop filters","menu","Stop filters","Fin filtres","",""
"menu-wkf-nodes-root-activity","Activities","menu","Activities","Activités","",""
"menu-wkf-task","Tasks","menu","Tasks","Tâches","",""
"menu-wkf-nodes-root-gateway","Gateways","menu","Gateways","Passerelles","",""
"menu-wkf-inclusive-gateway","Inclusive gateways","menu","Inclusive gateways","Inclusives","",""
"menu-wkf-exclusive-gateway","Exclusive gateways","menu","Exclusive gateways","Exclusives","",""
"menu-wkf-parallel-gateway","Parallel gateways","menu","Parallel gateways","Parallèles","",""
"menu-wkf-transitions","Transitions","menu","Transitions","Transitions","",""
"menu-wkf-workflows","Workflows","menu","Workflows","Les Processus","",""

"com.axelor.wkf.db.Instance","workflow","field","Workflow","Processus","",""
"com.axelor.wkf.db.Instance","metaModelId","field","Model ID","Modèle ID","",""
"com.axelor.wkf.db.Instance","nodes","field","Nodes","Les Noeuds","",""
"com.axelor.wkf.db.Instance","executedTransitions","field","Executed transitions","Les transitions exécutées","",""
"com.axelor.wkf.db.Instance","creationDate","field","Creation date","Date de création","",""
"com.axelor.wkf.db.Instance","creationUser","field","User","Utilisateur","",""
"com.axelor.wkf.db.Instance","histories","field","Histories","Historique","",""
"com.axelor.wkf.db.Instance","counters","field","Counters","Compteurs","",""

"com.axelor.wkf.db.InstanceHistory","instance","field","","Instance","",""
"com.axelor.wkf.db.InstanceHistory","transition","field","Transition","Transition","",""
"com.axelor.wkf.db.InstanceHistory","creationDate","field","Création date","Date de création","",""
"com.axelor.wkf.db.InstanceHistory","creationUser","field","User","Utilisateur","",""

"com.axelor.wkf.db.InstanceCounter","instance","field","","Instance","",""
"com.axelor.wkf.db.InstanceCounter","node","field","Node","Noeud","",""
"com.axelor.wkf.db.InstanceCounter","counter","field","Counter","Compteur","",""

"com.axelor.wkf.db.Workflow","name","field","","Nom","",""
"com.axelor.wkf.db.Workflow","metaModel","field","","Model","",""
"com.axelor.wkf.db.Workflow","node","field","","Noeud","",""
"com.axelor.wkf.db.Workflow","maxNodeCounter","field","","Nombre de noeuds maximun","",""
"com.axelor.wkf.db.Workflow","condition","field","Condition","Condition","",""
"com.axelor.wkf.db.Workflow","sequence","field","","Sequence","",""
"com.axelor.wkf.db.Workflow","description","field","","Description","",""
"com.axelor.wkf.db.Workflow","active","field","","Actif ?","",""
"com.axelor.wkf.db.Workflow","archived","field","","Archivé ?","",""
"com.axelor.wkf.db.Workflow","bpmn","field","","BPMN","",""
"com.axelor.wkf.db.Workflow","xmlData","field","","Données XML","",""
"com.axelor.wkf.db.Workflow","ref","field","","Ref","",""

"com.axelor.wkf.db.Node","name","field","","Nom","",""
"com.axelor.wkf.db.Node","type","field","","Type","",""
"com.axelor.wkf.db.Node","action","field","","Action","",""
"com.axelor.wkf.db.Node","operator","field","","Opérateur Logique","",""
"com.axelor.wkf.db.Node","messageType","field","","Type de message","",""
"com.axelor.wkf.db.Node","socialNetwork","field","","Réseau social","",""
"com.axelor.wkf.db.Node","startTransitions","field","","Transition de départ","",""
"com.axelor.wkf.db.Node","endTransitions","field","","Transition de fin","",""
"com.axelor.wkf.db.Node","description","field","","Description","",""
"com.axelor.wkf.db.Node","ref","field","","Ref","",""
"com.axelor.wkf.db.Node","account","field","","Compte","",""
"com.axelor.wkf.db.Node","persist","field","","Persister ?","",""
"com.axelor.wkf.db.Node","template","field","","Template","",""
"com.axelor.wkf.db.Node","templateModel","field","","Model de template","",""
"com.axelor.wkf.db.Node","privateMessage","field","","Message privé ?","",""
"com.axelor.wkf.db.Node","targetPage","field","","Page cible","",""
"com.axelor.wkf.db.Node","timeDuration","field","","Durée","",""
"com.axelor.wkf.db.Node","timeCycle","field","","Cycle","",""
"com.axelor.wkf.db.Node","timeDate","field","","Date","",""

"com.axelor.wkf.db.node.StartEvent","name","field","","Nom","",""
"com.axelor.wkf.db.node.StartEvent","type","field","","Type","",""
"com.axelor.wkf.db.node.StartEvent","action","field","","Action","",""
"com.axelor.wkf.db.node.StartEvent","operator","field","","Opérateur Logique","",""
"com.axelor.wkf.db.node.StartEvent","startTransitions","field","","Transition de départ","",""
"com.axelor.wkf.db.node.StartEvent","endTransitions","field","","Transition de fin","",""
"com.axelor.wkf.db.node.StartEvent","description","field","","Description","",""
"com.axelor.wkf.db.node.StartEvent","ref","field","","Ref","",""

"com.axelor.wkf.db.node.EndEvent","name","field","","Nom","",""
"com.axelor.wkf.db.node.EndEvent","type","field","","Type","",""
"com.axelor.wkf.db.node.EndEvent","action","field","","Action","",""
"com.axelor.wkf.db.node.EndEvent","operator","field","","Opérateur Logique","",""
"com.axelor.wkf.db.node.EndEvent","startTransitions","field","","Transition de départ","",""
"com.axelor.wkf.db.node.EndEvent","endTransitions","field","","Transition de fin","",""
"com.axelor.wkf.db.node.EndEvent","description","field","","Description","",""
"com.axelor.wkf.db.node.EndEvent","ref","field","","Ref","",""

"com.axelor.wkf.db.node.Task","name","field","","Nom","",""
"com.axelor.wkf.db.node.Task","type","field","","Type","",""
"com.axelor.wkf.db.node.Task","action","field","","Action","",""
"com.axelor.wkf.db.node.Task","operator","field","","Opérateur Logique","",""
"com.axelor.wkf.db.node.Task","startTransitions","field","","Transition de départ","",""
"com.axelor.wkf.db.node.Task","endTransitions","field","","Transition de fin","",""
"com.axelor.wkf.db.node.Task","description","field","","Description","",""
"com.axelor.wkf.db.node.Task","ref","field","","Ref","",""

"com.axelor.wkf.db.node.IntermediateTimerEvent","name","field","","Nom","",""
"com.axelor.wkf.db.node.IntermediateTimerEvent","type","field","","Type","",""
"com.axelor.wkf.db.node.IntermediateTimerEvent","action","field","","Action","",""
