"key","message","comment","context"
"AND",,,"resources/views/Node.xml:19"
"Activities",,,"resources/views/Menu.xml:50
resources/views/Menu.xml:53
resources/views/Node.xml:87"
"Activity",,,"resources/views/Node.xml:92"
"BPMN",,,"resources/views/Workflow.xml:35"
"Configurations",,,"resources/views/Menu.xml:29"
"Counter",,,"resources/views/Instance.xml:31
resources/views/Instance.xml:56"
"Counters",,,"resources/views/Instance.xml:51"
"Description",,,"resources/views/Node.xml:55
resources/views/Workflow.xml:63
resources/views/Node.xml:200
resources/views/Node.xml:69
resources/views/Workflow.xml:83
resources/views/Workflow.xml:32
resources/views/Node.xml:102
resources/views/Node.xml:153
resources/views/Workflow.xml:103
resources/views/Node.xml:136
resources/views/Node.xml:119
resources/views/Node.xml:175
resources/views/Node.xml:83"
"Details",,,"resources/views/Instance.xml:22"
"Diagram",,,"resources/views/Instance.xml:19"
"Editor",,,"resources/views/Workflow.xml:19"
"End event",,,"resources/views/Node.xml:11
resources/views/Node.xml:77"
"End events",,,"resources/views/Menu.xml:59
resources/views/Node.xml:73
resources/views/Menu.xml:62"
"Exclusive gateway",,,"resources/views/Node.xml:127"
"Exclusive gateways",,,"resources/views/Node.xml:123
resources/views/Menu.xml:108
resources/views/Menu.xml:111"
"Gateway",,,"resources/views/Node.xml:12"
"Gateways",,,"resources/views/Menu.xml:87"
"Histories",,,"resources/views/Instance.xml:39"
"History",,,"resources/views/Instance.xml:45
resources/views/Instance.xml:26"
"Import",,,"resources/views/Workflow.xml:21"
"Inclusive gateway",,,"resources/views/Node.xml:110"
"Inclusive gateways",,,"resources/views/Node.xml:106
resources/views/Menu.xml:93
resources/views/Menu.xml:90"
"Instance",,,"resources/views/Instance.xml:14"
"Instances",,,"resources/views/Menu.xml:23
resources/views/Workflow.xml:20
resources/views/Instance.xml:6
resources/views/Menu.xml:20"
"Message",,,"resources/views/Node.xml:13"
"Message event",,,"resources/views/Node.xml:187"
"Message events",,,"resources/views/Node.xml:179
resources/views/Menu.xml:79
resources/views/Menu.xml:82"
"Meta model",,,"resources/views/Instance.xml:8"
"Model",,,"resources/views/Instance.xml:16"
"Node",,,"resources/views/Node.xml:32"
"Node Task",,,"resources/views/Node.xml:10"
"Nodes",,,"resources/views/Node.xml:26"
"OR",,,"resources/views/Node.xml:20"
"Other events",,,"resources/views/Menu.xml:67"
"Parallel gateway",,,"resources/views/Node.xml:144"
"Parallel gateways",,,"resources/views/Node.xml:140
resources/views/Menu.xml:102
resources/views/Menu.xml:99"
"Process",,,"resources/views/Instance.xml:67"
"Start event",,,"resources/views/Node.xml:9
resources/views/Node.xml:63"
"Start events",,,"resources/views/Menu.xml:32
resources/views/Node.xml:59
resources/views/Menu.xml:35"
"Timer",,,"resources/views/Node.xml:14"
"Timer event",,,"resources/views/Node.xml:164"
"Timer events",,,"resources/views/Menu.xml:73
resources/views/Node.xml:157
resources/views/Menu.xml:70"
"Transition",,,"resources/views/Workflow.xml:96
resources/views/Workflow.xml:55
resources/views/Workflow.xml:76"
"Transitions",,,"resources/views/Workflow.xml:87
resources/views/Menu.xml:41
resources/views/Workflow.xml:45
resources/views/Menu.xml:44
resources/views/Workflow.xml:67"
"Wkf Management",,,"resources/views/Menu.xml:7"
"Workflow",,,"resources/views/Workflow.xml:17"
"Workflows",,,"resources/views/Menu.xml:10
resources/views/Workflow.xml:9"
"XML",,,"resources/views/Workflow.xml:38"
"XOR",,,"resources/views/Node.xml:21"
"You have no sufficient rights.",,,"java/com/axelor/wkf/db/Transition.java:321"
"id",,,"resources/views/Instance.xml:17"
"Name",,,
"Max node counter",,,
"Archived",,,
