"domain","name","type","title","title_t","help","help_t"
,,"menu","Administration","Administration",,
,,"menu","User Management","Gestion des utilisateurs",,
,,"menu","Groups","Les Groupes",,
,,"menu","Permissions","Les Permissions",,
,,"menu","Roles","Les Roles",,
,,"menu","Users","Les Utilisateurs",,
,,"menu","All Schedules","Les Planificateurs",,
,,"menu","Job Management","Gestion des planificateurs",,
,,"menu","All Models","Les Modèles",,
,,"menu","All Modules","Les Modules",,
,,"menu","Model Management","Gestion des modèles",,
,,"menu","Module Management","Gestion des modules",,
,,"menu","Action Menus","Les Action Menus",,
,,"menu","All Actions","Les Actions",,
,,"menu","All Views","Les Vues",,
,,"menu","All Charts","Les Graphiques",,
,,"menu","View Management","Gestion des vues",,
,,"menu","All Menus","Les Menus",,
,,"menu","All Selects","Les Selections",,
,,"menu","All Translations","Les Traductions",,
"com.axelor.auth.db.Group","code","field",,"Code",,
"com.axelor.auth.db.Group","name","field",,"Nom",,
"com.axelor.auth.db.Group","navigation","field",,"Navigation",,
"com.axelor.auth.db.Group","technicalStaff","field",,"Données techniques","Specify whether the members of this group are technical staff.","Indiquez si les membres de ce groupe sont des utilisateurs technique."
"com.axelor.auth.db.Group","roles","field",,"Roles",,
"com.axelor.auth.db.Group","permissions","field",,"Permissions",,
"com.axelor.auth.db.Group","menus","field",,"Menus",,
"com.axelor.auth.db.Group","views","field",,"Vues",,
"com.axelor.meta.db.MetaModule","name","field",,"Nom",,
"com.axelor.meta.db.MetaModule","title","field",,"Libellé",,
"com.axelor.meta.db.MetaModule","description","field",,"Description",,
"com.axelor.meta.db.MetaModule","depends","field",,"Dépend de",,
"com.axelor.meta.db.MetaModule","moduleVersion","field","Version","Version",,
"com.axelor.meta.db.MetaModule","removable","field",,"Supprimable ?",,
"com.axelor.meta.db.MetaModule","installed","field",,"Installé ?",,
"com.axelor.meta.db.MetaView","name","field",,"Nom",,
"com.axelor.meta.db.MetaView","title","field",,"Libellé",,
"com.axelor.meta.db.MetaView","type","field",,"Type",,
"com.axelor.meta.db.MetaView","priority","field",,"Priorité",,
"com.axelor.meta.db.MetaView","model","field",,"Objet",,
"com.axelor.meta.db.MetaView","module","field",,"Module",,
"com.axelor.meta.db.MetaView","xml","field",,"XML",,
"com.axelor.meta.db.MetaView","xmlId","field",,"ID XML",,
"com.axelor.meta.db.MetaView","groups","field",,"Groupes",,
"com.axelor.meta.db.MetaMenu","priority","field",,"Priorité",,
"com.axelor.meta.db.MetaMenu","name","field",,"Nom",,
"com.axelor.meta.db.MetaMenu","title","field",,"Libellé",,
"com.axelor.meta.db.MetaMenu","icon","field",,"Icone",,
"com.axelor.meta.db.MetaMenu","module","field",,"Module",,
"com.axelor.meta.db.MetaMenu","top","field",,"Menu du haut ?",,
"com.axelor.meta.db.MetaMenu","left","field",,"Menu à gauche ?",,
"com.axelor.meta.db.MetaMenu","mobile","field",,"Menu mobile ?",,
"com.axelor.meta.db.MetaMenu","parent","field",,"Parent",,
"com.axelor.meta.db.MetaMenu","action","field",,"Action",,
"com.axelor.meta.db.MetaMenu","groups","field",,"Groupes",,
"com.axelor.meta.db.MetaActionMenu","name","field",,"Nom",,
"com.axelor.meta.db.MetaActionMenu","title","field",,"Libellé",,
"com.axelor.meta.db.MetaActionMenu","category","field",,"Catégorie","Category name to group action menus.","Nom de la catégorie pour grouper les actions menus"
"com.axelor.meta.db.MetaActionMenu","module","field",,"Module",,
"com.axelor.meta.db.MetaActionMenu","parent","field",,"Parent",,
"com.axelor.meta.db.MetaActionMenu","action","field",,"Action",,
"com.axelor.meta.db.MetaAction","name","field",,"Nom",,
"com.axelor.meta.db.MetaAction","type","field",,"Type",,
