"domain","name","type","title","title_t","help","help_t"
,,"menu","Administration","Administration",,
,,"menu","Auth Profiles","Assistant règle de droit",,
,,"menu","All Models","Les objets",,
,,"menu","All Modules","Les Modules",,
,,"menu","Model Management","Gestion des objets",,
,,"menu","Module Management","Gestion des modules",,
,,"menu","Preferences","Préférences",,
,,"menu","Action Menus","Les Action Menus",,
,,"menu","All Actions","Les Actions",,
,,"menu","All Views","Les Vues",,
,,"menu","All Charts","Les Graphiques",,
,,"menu","View Management","Gestion des vues",,
,,"menu","All Menus","Les Menus",,
,,"menu","All Selects","Les Sélections",,
,,"menu","All Translations","Les Traductions",,
"com.axelor.meta.db.MetaModule","name","field",,"Nom",,
"com.axelor.meta.db.MetaModule","title","field",,"Libellé",,
"com.axelor.meta.db.MetaModule","description","field",,"Description",,
"com.axelor.meta.db.MetaModule","depends","field",,"Dépend de",,
"com.axelor.meta.db.MetaModule","moduleVersion","field","Version","Version",,
"com.axelor.meta.db.MetaModule","removable","field",,"Supprimable ?",,
"com.axelor.meta.db.MetaModule","installed","field",,"Installé ?",,
"com.axelor.meta.db.MetaView","name","field",,"Nom",,
"com.axelor.meta.db.MetaView","title","field",,"Libellé",,
"com.axelor.meta.db.MetaView","type","field",,"Type",,
"com.axelor.meta.db.MetaView","priority","field",,"Priorité",,
"com.axelor.meta.db.MetaView","model","field",,"Objet",,
"com.axelor.meta.db.MetaView","module","field",,"Module",,
"com.axelor.meta.db.MetaView","xml","field",,"XML",,
"com.axelor.meta.db.MetaView","groups","field",,"Groupes",,
"com.axelor.meta.db.MetaMenu","priority","field",,"Priorité",,
"com.axelor.meta.db.MetaMenu","name","field",,"Nom",,
"com.axelor.meta.db.MetaMenu","title","field",,"Libellé",,
"com.axelor.meta.db.MetaMenu","icon","field",,"Icone",,
"com.axelor.meta.db.MetaMenu","module","field",,"Module",,
"com.axelor.meta.db.MetaMenu","top","field",,"Menu du haut ?",,
"com.axelor.meta.db.MetaMenu","left","field",,"Menu à gauche ?",,
"com.axelor.meta.db.MetaMenu","mobile","field",,"Menu mobile ?",,
"com.axelor.meta.db.MetaMenu","parent","field",,"Parent",,
"com.axelor.meta.db.MetaMenu","action","field",,"Action",,
"com.axelor.meta.db.MetaMenu","groups","field",,"Groupes",,
"com.axelor.meta.db.MetaActionMenu","name","field",,"Nom",,
"com.axelor.meta.db.MetaActionMenu","title","field",,"Libellé",,
"com.axelor.meta.db.MetaActionMenu","category","field",,"Catégorie","Category name to group action menus.","Nom de la catégorie pour grouper les actions menus"
"com.axelor.meta.db.MetaActionMenu","module","field",,"Module",,
"com.axelor.meta.db.MetaActionMenu","parent","field",,"Parent",,
"com.axelor.meta.db.MetaActionMenu","action","field",,"Action",,
"com.axelor.meta.db.MetaAction","name","field",,"Nom",,
"com.axelor.meta.db.MetaAction","type","field",,"Type",,
"com.axelor.meta.db.MetaAction","model","field",,"Modèle",,
"com.axelor.meta.db.MetaAction","module","field",,"Module",,
"com.axelor.meta.db.MetaAction","xml","field",,"XML",,
"com.axelor.meta.db.MetaSelect","name","field",,"Nom",,
"com.axelor.meta.db.MetaSelect","priority","field",,"Priorité",,
"com.axelor.meta.db.MetaSelect","module","field",,"Module",,
"com.axelor.meta.db.MetaSelect","items","field",,"Elément",,
"com.axelor.meta.db.MetaSelectItem","value","field",,"Valeur",,
"com.axelor.meta.db.MetaSelectItem","title","field",,"Libellé",,
"com.axelor.meta.db.MetaSelectItem","order","field",,"Séquence",,
"com.axelor.meta.db.MetaSelectItem","select","field",,"Sélection",,
"com.axelor.meta.db.MetaModel","name","field","Name","Nom",,
"com.axelor.meta.db.MetaModel","packageName","field","Package","Package",,
"com.axelor.meta.db.MetaModel","tableName","field","Table","Table",,
"com.axelor.meta.db.MetaModel","metaFields","field","Fields","Champs",,
"com.axelor.meta.db.MetaModel","fullName","field","Fullname","Nom complet",,
"com.axelor.meta.db.MetaField","metaModel","field",,"Meta Model",,
"com.axelor.meta.db.MetaField","name","field","Name","Nom",,
"com.axelor.meta.db.MetaField","packageName","field","Package","Nom du package",,
"com.axelor.meta.db.MetaField","typeName","field","Type","Type",,
"com.axelor.meta.db.MetaField","label","field","Label","Libellé",,
"com.axelor.meta.db.MetaField","relationship","field","Relationship","Relation",,
"com.axelor.meta.db.MetaField","mappedBy","field","Mapped by","Mappé avec",,
"com.axelor.meta.db.MetaField","description","field","Description","Description",,
"com.axelor.meta.db.MetaTranslation","key","field",,"Clé",,
"com.axelor.meta.db.MetaTranslation","language","field",,"Langue",,
"com.axelor.meta.db.MetaTranslation","translation","field",,"Traduction",,
"com.axelor.meta.db.MetaTranslation","domain","field",,"Domain",,
"com.axelor.meta.db.MetaTranslation","type","field",,"Type",,
"com.axelor.meta.db.MetaFile","content","field","File","Fichier",,
"com.axelor.meta.db.MetaFile","fileName","field",,"Nom du fichier",,
"com.axelor.meta.db.MetaFile","size","field","Size in bytes","Taille en bytes",,
"com.axelor.meta.db.MetaFile","mine","field","File type","Type de fichier",,
"com.axelor.meta.db.MetaFile","description","field",,"Description",,
"com.axelor.meta.db.MetaFile","sizeText","field","Size","Taille",,
"com.axelor.meta.db.MetaAttachment","objectName","field",,"Nom de l'objet",,
"com.axelor.meta.db.MetaAttachment","objectId","field",,"ID de l'objet",,
"com.axelor.meta.db.MetaAttachment","metaFile","field","File","Meta File",,
"com.axelor.meta.db.MetaChartSeries","key","field",,"Clé",,
"com.axelor.meta.db.MetaChartSeries","groupBy","field",,"Grouper par",,
"com.axelor.meta.db.MetaChartSeries","title","field",,"Libellé",,
"com.axelor.meta.db.MetaChartSeries","type","field",,"Type",,
"com.axelor.meta.db.MetaChartSeries","side","field",,"Côté",,
"com.axelor.meta.db.MetaChartSeries","aggregate","field",,"Regrouper par",,
"com.axelor.meta.db.MetaChartConfig","name","field",,"Nom",,
"com.axelor.meta.db.MetaChartConfig","value","field",,"Valeur",,
"com.axelor.meta.db.MetaChart","name","field",,"Nom",,
"com.axelor.meta.db.MetaChart","module","field",,"Module",,
"com.axelor.meta.db.MetaChart","title","field",,"Titre",,
"com.axelor.meta.db.MetaChart","stacked","field",,"Empilement",,
"com.axelor.meta.db.MetaChart","query","field",,"Requête",,
"com.axelor.meta.db.MetaChart","queryType","field",,"Type de requete",,
"com.axelor.meta.db.MetaChart","categoryKey","field",,"Clé de la catégorie",,
"com.axelor.meta.db.MetaChart","categoryType","field",,"Type de la catégorie",,
"com.axelor.meta.db.MetaChart","categoryTitle","field",,"Libellé de la catégorie",,
"com.axelor.meta.db.MetaChart","chartSeries","field",,"Séries de données",,
"com.axelor.meta.db.MetaChart","chartConfig","field",,"Configuration du graphique",,
"com.axelor.meta.db.MetaAuthProfile","name","field",,"Nom",,
"com.axelor.meta.db.MetaAuthProfile","targetPackage","field",,"Package cible",,
"com.axelor.meta.db.MetaAuthProfile","canRead","field","Read","Lecture",,
"com.axelor.meta.db.MetaAuthProfile","canWrite","field","Write","Ecriture",,
"com.axelor.meta.db.MetaAuthProfile","canCreate","field","Create","Création",,
"com.axelor.meta.db.MetaAuthProfile","canRemove","field","Remove","Suppression",,
"com.axelor.meta.db.MetaAuthProfile","readCondition","field",,"Condition",,
"com.axelor.meta.db.MetaAuthProfile","readParams","field",,"Parametres",,
"com.axelor.meta.db.MetaAuthProfile","writeCondition","field",,"Condition",,
"com.axelor.meta.db.MetaAuthProfile","writeParams","field",,"Parametres",,
"com.axelor.meta.db.MetaAuthProfile","createCondition","field",,"Condition",,
