"key","message","comment","context"
"Password","","","webapp/partials/login-window.html:6
webapp/login.jsp:29"
"Please correct the invalid form values.","","","webapp/js/form/form.actions.js:281"
"Please sign in","","","webapp/login.jsp:24"
"Please wait...","","","webapp/js/axelor.app.js:202"
"Prev","Précédent","","webapp/js/form/form.input.datetime.js:68"
"Question","","","webapp/js/lib/dialogs.js:59"
"Reference","","","webapp/js/form/form.input.static.js:200"
"Refresh","","","webapp/js/view/view.form.js:684
webapp/partials/views/calendar.html:11
webapp/partials/views/trail.html:10"
"Remember me","","","webapp/login.jsp:25"
"Sa","S","","webapp/js/form/form.input.datetime.js:61"
"Sat","Sat","","webapp/js/form/form.input.datetime.js:60"
"Saturday","Samedi","","webapp/js/form/form.input.datetime.js:58"
"Save","","","webapp/partials/views/form.html:12
webapp/partials/views/form.html:13
webapp/partials/views/grid.html:13
webapp/partials/views/grid.html:14
webapp/partials/preferences.html:15"
"Search","","","webapp/js/view/view.search.js:576"
"Search Objects","","","webapp/js/view/view.search.js:533"
"Search...","","","webapp/js/form/form.relational.multiple.js:687
webapp/js/form/form.relational.multiple.js:681
webapp/js/form/form.relational.single.js:269"
"Second","Seconde","","webapp/js/form/form.input.datetime.js:65"
"Select","","","webapp/js/view/view.popup.js:619"
"Sep","Sept","","webapp/js/form/form.input.datetime.js:46"
"September","Septembre","","webapp/js/form/form.input.datetime.js:32"
"Server is not responding.","","","webapp/partials/login-window.html:14"
"Show","","","webapp/js/widget/widget.slickgrid.js:1086"
"Show Details","","","webapp/js/axelor.app.js:383"
"Sort Ascending","","","webapp/js/widget/widget.slickgrid.js:523"
"Sort Descending","","","webapp/js/widget/widget.slickgrid.js:527"
"Stacked","","","webapp/js/view/view.chart.js:39"
"Su","D","","webapp/js/form/form.input.datetime.js:61"
"Success","","","webapp/js/lib/dialogs.js:213"
"Sun","Sun","","webapp/js/form/form.input.datetime.js:60"
"Sunday","Dimanche","","webapp/js/form/form.input.datetime.js:52"
"Th","J","","webapp/js/form/form.input.datetime.js:61"
"The following fields are invalid:","","","webapp/js/view/view.form.js:1014"
"The record has been updated or delete by another action.","","","webapp/js/view/view.form.js:418"
"Thu","Thu","","webapp/js/form/form.input.datetime.js:60"
"Thursday","Jeudi","","webapp/js/form/form.input.datetime.js:56"
"Today","","","webapp/partials/views/calendar.html:16"
"Tu","M","","webapp/js/form/form.input.datetime.js:61"
"Tue","Tue","","webapp/js/form/form.input.datetime.js:60"
"Tuesday","Mardi","","webapp/js/form/form.input.datetime.js:54"
"Ungroup","","","webapp/js/widget/widget.slickgrid.js:535"
"Unknown","","","webapp/js/view/view.calendar.js:204
webapp/js/view/view.calendar.js:144"
"Updated By:","","","webapp/js/view/view.form.js:672"
"Updated On:","","","webapp/js/view/view.form.js:668"
"User","","","webapp/partials/login-window.html:4"
"User name","","","webapp/login.jsp:28"
"Validation error","","","webapp/js/form/form.actions.js:282"
"View","","","webapp/js/form/form.input.static.js:158"
"Warning","","","webapp/js/lib/dialogs.js:34
webapp/js/form/form.actions.js:491"
"We","M","","webapp/js/form/form.input.datetime.js:61"
"Wed","Wed","","webapp/js/form/form.input.datetime.js:60"
"Wednesday","Mercredi","","webapp/js/form/form.input.datetime.js:55"
"Week","","","webapp/partials/views/calendar.html:7"
"Wk","Sem.","","webapp/js/form/form.input.datetime.js:62"
"Would you like to reload the current record?","","","webapp/js/view/view.form.js:419"
"Would you like to remove the filter?","","","webapp/js/widget/widget.search.js:691"
"Yes","","","webapp/js/lib/dialogs.js:62"
"You are not allow to upload a file bigger than","","","webapp/js/view/view.popup.js:371
webapp/js/form/form.input.binary.js:168"
"and {0} more","","","webapp/js/form/form.input.select.js:424"
"contains","","","webapp/js/widget/widget.search.js:32"
"doesn't contain","","","webapp/js/widget/widget.search.js:33"
"equals","","","webapp/js/widget/widget.search.js:25"
"greater or equal","","","webapp/js/widget/widget.search.js:27"
"greater than","","","webapp/js/widget/widget.search.js:29"
"in range","","","webapp/js/widget/widget.search.js:35"
"is false","","","webapp/js/widget/widget.search.js:42"
"is not null","","","webapp/js/widget/widget.search.js:39"
"is null","","","webapp/js/widget/widget.search.js:38"
"is true","","","webapp/js/widget/widget.search.js:41"
"less or equal","","","webapp/js/widget/widget.search.js:28"
"less than","","","webapp/js/widget/widget.search.js:30"
"not equal","","","webapp/js/widget/widget.search.js:26"
"not in range","","","webapp/js/widget/widget.search.js:36"
"{0} of {1}","","","webapp/js/view/view.form.js:606"
"{0} to {1} of {2}","","","webapp/js/view/view.grid.js:353
webapp/js/view/view.tree.js:409"
