"key","message","comment","context"
"May",,,"webapp/js/form/form.input.datetime.js:28
webapp/js/form/form.input.datetime.js:42"
"Memory Information",,,"webapp/partials/system.html:19"
"Minute",,,"webapp/js/form/form.input.datetime.js:64"
"Mo",,,"webapp/js/form/form.input.datetime.js:61"
"Mon",,,"webapp/js/form/form.input.datetime.js:60"
"Monday",,,"webapp/js/form/form.input.datetime.js:53"
"Month",,,"webapp/partials/views/calendar.html:6"
"More",,,"webapp/js/widget/widget.navmenu.js:209"
"My Filters",,,"webapp/js/widget/widget.search.js:933"
"New",,,"webapp/js/form/form.relational.multiple.js:576
webapp/js/form/form.relational.single.js:181
webapp/partials/views/form.html:6
webapp/partials/views/form.html:7
webapp/partials/views/grid.html:6
webapp/partials/views/grid.html:7"
"Next",,,"webapp/js/form/form.input.datetime.js:69"
"No",,,"webapp/js/lib/dialogs.js:63"
"No records found.",,,"webapp/js/view/view.chart.js:559
webapp/js/view/view.search.js:194
webapp/js/widget/widget.slickgrid.js:664"
"Nov",,,"webapp/js/form/form.input.datetime.js:48"
"November",,,"webapp/js/form/form.input.datetime.js:34"
"Now",,,"webapp/js/form/form.input.datetime.js:66"
"OK",,,"webapp/js/form/form.relational.nested.js:173
webapp/js/lib/dialogs.js:103
webapp/js/lib/dialogs.js:62
webapp/js/widget/widget.dialog.js:42"
"Object",,,"webapp/js/form/form.input.static.js:159
webapp/js/form/form.input.static.js:200
webapp/js/view/view.search.js:353"
"Oct",,,"webapp/js/form/form.input.datetime.js:47"
"October",,,"webapp/js/form/form.input.datetime.js:33"
"Offline!",,,"webapp/partials/login-window.html:14"
"Operating System",,,"webapp/partials/system.html:9"
"Orig. Value",,,"webapp/js/form/form.input.static.js:243"
"Password",,,"webapp/login.jsp:29
webapp/partials/login-window.html:6"
"Please correct the invalid form values.",,,"webapp/js/form/form.actions.js:293"
"Please sign in",,,"webapp/login.jsp:24"
"Please wait...",,,"webapp/js/axelor.app.js:203"
"Preferences",,,"webapp/index.jsp:120"
"Prev",,,"webapp/js/form/form.input.datetime.js:68"
"Question",,,"webapp/js/lib/dialogs.js:59"
"Reference",,,"webapp/js/form/form.input.static.js:213"
